StudentID	subject	score
257119	MATH	43
250648	Soc	76.5
259306	MATH	37
259668	math	72.5
259015	SOC	72
251531	ELA	86.5
255421	SOC	45
257017	soc	78.5
255839	Ela	43
256182	soc	94.5
257519	ela	96.5
251433	Soc	99.5
250177	ELA	96
254767	Ela	31.5
255897	SOC	84
255734	Math	76.5
252947	Math	93
250187	ELA	58.5
258231	ELA	90.5
251403	soc	71.5
251303	Soc	33
252696	Soc	95
255175	Soc	40
257611	ELA	100
252148	Math	28.5
252832	Ela	65.7656966941431
256893	Soc	89
257923	MATH	100
250971	SOC	98
255277	Soc	98
257482	Math	68
258414	Soc	72
257190	Ela	50
258448	Soc	40.5
251939	Soc	96.5
254057	math	33
258875	ELA	73
256199	MATH	65.5
258735	Soc	72
257662	soc	25
259091	ela	67
256965	ela	53
254888	MATH	61
250215	math	81
252580	soc	75.5
257570	Soc	81.5
254832	Ela	26
252655	math	32.5
257135	MATH	92
258666	math	88
255180	soc	74.5
253389	Math	77.5
258909	ELA	81
257014	SOC	34.5
253741	Soc	64
252645	MATH	30
256124	SOC	25
254475	Ela	72
252000	MATH	44
253573	SOC	40.5
252305	Soc	79
252771	MATH	49
255180	ela	82.5
256564	SOC	45
254445	Ela	45.5
250547	Ela	61.5
254763	soc	35.5
251866	ela	42.5
255777	Soc	64.693443777971
251959	MATH	65.5
257313	MATH	34.5
254138	soc	44.5
250428	Ela	36.5
255053	Soc	44.5
253327	ELA	72.5
254813	ELA	65.7656966941431
252923	soc	37.5
259457	Ela	100
253439	Soc	56
257423	Ela	29.5
255244	MATH	64.0355591694824
258761	soc	99
250233	SOC	86
259038	Ela	84
250170	MATH	69
256824	ela	50
255151	Math	55
250076	SOC	64.5
258113	Ela	67.5
258773	ela	70
255813	soc	64.5
257076	math	48.5
251546	soc	38
255867	Ela	37
252570	Math	42.5
258565	Soc	97
253617	ela	59
259425	SOC	83.5
256953	ela	78.5
252483	MATH	48.5
258297	ela	53
253326	math	64.7016131659038
255630	ELA	90
257708	SOC	72.5
255745	SOC	29
250606	Ela	73
252652	Ela	47
255809	ELA	64.7016131659038
258172	math	53.5
255778	math	75.5
254724	Math	84
259095	soc	64.1138002085499
254091	Math	30
252740	Soc	51.5
259619	SOC	77.5
257373	Ela	72.5
250056	MATH	37.5
252657	MATH	82.5
253736	Ela	66.5
252558	SOC	67.5
257576	Ela	44
251395	ela	89
252931	ELA	70
254317	math	82
259091	SOC	70.5
251239	soc	64.5
250118	Math	92.5
252780	Math	71.5
258549	soc	64.1138002085499
256014	soc	43.5
255526	Ela	82
250370	Soc	81.5
250505	math	87.5
256510	SOC	70.5
257783	ELA	73.5
255846	Ela	93
257590	Soc	32
253136	Ela	70
252637	ELA	34.5
257422	ela	64.6672652936541
250884	Ela	49
257654	Soc	74
250219	Ela	60.5
251503	Soc	97.5
257943	MATH	88
253018	MATH	37
257845	math	29
253474	MATH	94
256922	Soc	34
259285	ela	45
259567	MATH	82
256335	math	55
259220	Ela	54.5
254878	ela	62
252921	Soc	93
254244	SOC	30.5
256058	ela	97.5
251359	ela	60.5
253266	ela	62
250636	math	99
250494	math	60.5
256033	Ela	88
257837	MATH	71
258468	SOC	94
256399	SOC	87
250470	Ela	60
256376	math	26
251178	ela	93
251943	soc	38.5
256408	MATH	75.5
257013	Math	51.5
250252	math	84.5
251806	soc	33.5
257369	Math	46.5
250329	Ela	74.5
250768	MATH	41
257208	MATH	35.5
252019	Math	75.5
256564	Soc	33.5
251720	Soc	48.5
254035	ela	97.5
259033	ELA	77
255111	MATH	85.5
257193	Math	57.5
255218	Math	82.5
259646	SOC	43.5
252770	SOC	77.5
250501	Soc	92.5
253468	math	25.5
258974	Soc	97
257049	Math	66.5
257882	ela	83
253111	ELA	25
254930	ela	73
254198	Ela	51.5
250651	Math	39.5
250594	Ela	35.5
256298	math	26.5
257289	math	47.5
250110	soc	73
252818	Ela	70.5
259390	ela	29
258726	Ela	28.5
255577	soc	52
250983	soc	65.7656966941431
252313	Math	75
252823	math	63.5
251393	Math	74
253715	soc	30
259477	math	31
250793	soc	99.5
256721	ELA	85.5
255978	soc	39
254831	ela	65
252407	Soc	55
258679	SOC	39.5
255016	ELA	30
250172	soc	81
252463	MATH	93
251560	MATH	32
258249	Soc	32.5
258896	Math	59.5
252909	Ela	41
252930	Ela	64.7016131659038
254758	SOC	33.5
254531	soc	61
259017	Math	36.5
258758	MATH	83.5
254053	math	92.5
253025	soc	36.5
258296	Math	64.1138002085499
258473	Ela	88.5
259209	Soc	93
251531	ela	26.5
254807	soc	54.5
253765	Math	54
251182	math	39.5
253445	ELA	96.5
256674	ELA	39.5
255954	ela	37
251476	Soc	62.5
251231	ela	34.5
257213	ELA	90
251516	soc	70
257548	Soc	43
254393	SOC	42
253924	SOC	87
253362	ELA	94
251594	soc	34.5
253747	Ela	73.5
252439	ELA	58.5
251980	Soc	62
252059	Soc	65.4467492629774
250454	Math	34.5
258775	SOC	94.5
253118	SOC	85.5
258263	SOC	76.5
252041	Math	32
251082	MATH	81.5
258243	soc	38
250536	MATH	85
254141	MATH	64.7016131659038
258721	soc	79
255003	Ela	64
253965	ELA	35
254523	ELA	64.6672652936541
250322	MATH	44.5
257553	MATH	88
251246	ela	50
255141	Math	64.6672652936541
253515	MATH	50
257119	soc	96
251562	Ela	45.5
250406	Math	62
250299	soc	83
255384	SOC	87.5
255982	math	40.5
257676	ela	65
253494	ela	38.5
259587	Math	99
256618	ELA	53.5
259764	soc	40.5
256217	MATH	99
250370	MATH	45.5
252498	ELA	42.5
253936	Soc	73
259036	ela	76.5
255030	soc	92
252979	Ela	79.5
257153	ELA	47.5
258356	Ela	64.1138002085499
250308	Ela	81.5
253684	math	55
255006	Ela	53
250915	ELA	46
253217	SOC	58.5
255095	Math	89.5
251808	math	57
258480	MATH	74
254436	SOC	64.7016131659038
257472	Ela	47.5
253222	ELA	94.5
256363	SOC	63.5
250475	Math	88.5
256052	math	32.5
257431	SOC	34.5
251740	ELA	36.5
253849	MATH	72.5
255557	MATH	57.5
250373	math	80
258576	SOC	94.5
253863	ela	32
252087	SOC	70
259112	Math	45
255231	ELA	32.5
252345	Ela	51.5
250431	ELA	35.5
257335	SOC	25
258326	soc	64.0355591694824
254027	ela	94
259445	Math	64.5
251204	ELA	84.5
251211	Soc	92
252289	ELA	29
252761	ela	29.5
255435	Math	44.5
254257	math	31
252138	soc	37
254744	Soc	99
253146	soc	70.5
256467	ELA	25.5
255902	ELA	73
255061	Ela	59
259119	Ela	78
259496	Math	67
253382	Ela	93
259248	SOC	25.5
254399	Soc	40.5
255154	soc	74.5
252392	ELA	48.5
254594	math	78
257525	Ela	57.5
254485	ela	64.693443777971
252309	Math	89.5
252650	MATH	72
254828	math	31
250130	Soc	85
250271	SOC	85
252511	soc	28.5
252454	Math	78.5
251467	ela	28.5
256648	Math	65.4467492629774
253214	MATH	64.6473266794346
258695	ela	85
258617	Ela	81
255261	Soc	64.8956618295051
259868	Soc	65.6714702318422
257516	Soc	35.5
251708	MATH	33
255520	Math	43
255430	soc	59
251409	ela	41.5
254859	soc	56
251241	MATH	63
257544	Math	64.5
253608	math	39.5
257930	Ela	75
251103	ELA	43
258545	ELA	64.7016131659038
257048	SOC	85.5
255315	ela	87.5
257381	ela	60
259766	ela	65.7656966941431
256324	Ela	71
256365	SOC	35.5
256633	math	54.5
259777	Math	48.5
251206	soc	65.6714702318422
251826	SOC	66.5
251636	ELA	35.5
258826	Math	78.5
257811	ela	45
256520	math	85.5
251650	SOC	54
255974	ela	70
251128	ela	39.5
257375	math	88.5
255331	Soc	32
252665	Math	48.5
254784	Math	64
250248	Soc	26.5
250226	ELA	100
254129	SOC	35.5
259940	math	59.5
256176	SOC	27
250030	Soc	84.5
255941	Ela	90.5
257567	SOC	79.5
256857	soc	61
253750	ela	39
256867	ELA	82.5
251699	MATH	46
258485	MATH	31.5
255422	MATH	80.5
254296	soc	53
251505	ELA	87
250785	SOC	64.1138002085499
259063	ela	36
252116	soc	41.5
255553	ela	35.5
258189	Math	66.5
254150	SOC	48
252030	ELA	64.8956618295051
255301	math	77
254386	Soc	45.5
255217	math	27
257937	Soc	80
259673	ELA	99.5
251778	soc	88
251326	ela	33
251519	MATH	37.5
256332	math	62
257419	Math	62
254295	MATH	31.5
258111	soc	46.5
250057	SOC	43
257266	Ela	82
254721	Soc	88.5
255261	Ela	49.5
252521	MATH	98.5
257308	soc	53.5
255450	SOC	85
253499	math	97
259787	Math	29.5
258847	ELA	32.5
258680	ela	46
251913	Math	45
256500	ELA	61.5
254213	ela	37.5
256040	ela	89.5
256499	Soc	94.5
251900	Ela	64.693443777971
254660	Ela	67
252418	soc	52
254325	Ela	72
254421	soc	49
257353	math	96
250483	ela	79
254728	ela	94.5
254673	Math	74.5
257159	Soc	87.5
255983	Math	80
256012	ELA	25
250371	Ela	69
254883	Math	50.5
252287	SOC	45.5
259969	soc	87.5
257188	ela	93
253522	soc	80.5
259942	MATH	83
258323	MATH	25.5
250410	Soc	37
256466	soc	26.5
252842	ELA	38.5
251414	math	89
256517	soc	84
256644	soc	29.5
252626	SOC	65.5
251876	Ela	56
253178	Ela	49.5
255609	soc	27
258316	MATH	49.5
254581	MATH	43
259259	Math	95
252580	SOC	72
254887	Math	48.5
255268	Math	64.0355591694824
256747	SOC	44.5
253170	Ela	91
252326	ELA	58.5
255726	soc	63.5
255769	ela	65.6714702318422
252868	soc	78.5
254406	Ela	33
258288	soc	28
258296	Ela	98.5
259486	soc	56
254916	Math	45
256046	ela	61
258131	SOC	65.7656966941431
256787	MATH	57.5
254320	ela	62
251566	math	86
252446	math	80.5
252168	MATH	71
258888	math	72
254002	Ela	30.5
251266	Ela	53.5
256266	ELA	94
253974	Ela	32
254301	SOC	56
250532	Math	75
251943	Ela	91
252897	ELA	27
254375	soc	83.5
258663	MATH	81.5
254843	soc	42
250812	SOC	25
251989	math	96
250350	ela	61
257241	ELA	79
251083	math	74
254699	ela	26.5
257782	soc	79.5
251897	Ela	48.5
252575	SOC	51.5
259910	Soc	27
250161	SOC	59.5
259360	soc	64.8956618295051
259483	Math	32
251240	Math	86.5
255572	Math	64.0355591694824
255697	math	52
258037	Soc	50.5
257284	Math	95
255041	soc	55.5
255403	ELA	79
255922	ELA	78.5
257986	Ela	93
257583	soc	65.7656966941431
252892	MATH	93.5
250923	Math	87.5
251275	ela	66
255690	ela	68.5
250885	Ela	81
253175	math	44
254180	math	42.5
251662	Ela	37
257199	Ela	98
258803	math	98.5
255818	Soc	43
251767	MATH	46.5
251310	soc	68
254906	soc	32.5
251281	Math	84
253958	Ela	64.5
255010	math	25.5
254443	SOC	93
258662	soc	98.5
255958	ELA	94.5
250243	Soc	49.5
258493	ELA	72
250198	Soc	58.5
253259	math	35.5
252775	Ela	92
252478	Ela	44.5
253802	ELA	55.5
257793	Soc	79.5
254039	ela	58.5
258478	Ela	67
250134	Ela	98.5
255701	Soc	64.6473266794346
255017	ELA	32
255904	ELA	64
256704	Ela	64.6473266794346
250611	soc	72
253441	ELA	36
251478	math	70
253335	Ela	66.5
256993	math	35
251153	SOC	89
259135	SOC	52.5
250461	Math	81
254458	Ela	76
253796	Math	44
256196	Ela	87.5
255141	Ela	39
250790	Soc	51
250371	MATH	81
253279	SOC	94.5
252612	MATH	64.6473266794346
257588	Math	97
258029	MATH	65.5
254144	ela	64.6672652936541
256414	ELA	37.5
251409	Soc	88.5
256705	SOC	93.5
254575	Math	28
251109	Ela	32.5
254020	Ela	56
258369	ela	64.0355591694824
255284	ela	45
251658	soc	42
252944	math	97
250106	soc	87
252845	Math	37
257450	ela	95.5
256262	MATH	33
250680	ela	42
254099	Ela	68.5
254749	Ela	25
256705	Soc	74
250482	SOC	40.5
256720	Ela	71
256761	math	97.5
255853	Soc	40.5
259873	SOC	93.5
250160	MATH	72
254889	MATH	67
254999	MATH	56.5
257210	math	30.5
254530	ELA	50.5
251827	ela	68.5
259506	MATH	76.5
258621	SOC	66
258099	soc	46.5
259822	math	50.5
259382	math	75.5
255830	Math	41.5
259641	ELA	52.5
258459	soc	47.5
251564	math	44.5
255173	Math	100
258748	ELA	28
258665	SOC	100
256765	soc	97
258609	Math	47
259397	ELA	79.5
251104	Soc	36
254193	ela	27
256724	ela	86
258764	MATH	33.5
257110	ela	30.5
254045	soc	51
259362	Math	32.5
255986	SOC	35
255096	soc	92
256429	soc	97
251925	Math	26
259554	math	42.5
257400	soc	62.5
256798	SOC	52.5
250202	Soc	53.5
259051	soc	85.5
258567	Ela	32
250531	Soc	96
256057	SOC	65.4467492629774
250451	ela	47.5
250178	ELA	52
256247	MATH	64.1138002085499
259647	ELA	56
257486	ela	30.5
251257	Ela	61.5
254567	Soc	85
259226	ela	48
255871	ELA	57.5
253770	Soc	63.5
255967	Soc	70.5
258331	MATH	36.5
259347	MATH	99
251409	MATH	84
251352	Ela	64.6473266794346
251788	Ela	27.5
250932	math	67
254100	Math	64.5
254096	Soc	57.5
251477	ela	94
251651	SOC	41
255268	Soc	78
259835	ela	65.6714702318422
257246	ELA	44
259593	SOC	85.5
251459	MATH	75
251049	SOC	79
256949	Math	50.5
251092	MATH	28.5
254495	ela	87
259131	math	65.4467492629774
259608	SOC	65.5
250948	Ela	96.5
257574	Math	63
257410	ELA	52.5
259983	MATH	49
253296	soc	28
256110	ela	85
251607	SOC	64.0355591694824
258517	Math	43.5
256862	Math	100
258750	Math	83.5
250528	math	83
255971	math	76
251880	ela	39.5
252956	Soc	84
258321	ela	82
259711	Math	77
259254	MATH	55.5
258617	Math	64.0355591694824
251288	ela	81
255557	Ela	76
259769	soc	39
250721	ela	82.5
254873	Ela	90
252569	ela	45
257955	Soc	32
251430	soc	93
255437	math	99
253197	ELA	74
252955	MATH	85.5
251874	Soc	78
259672	soc	67.5
255721	Ela	59.5
258185	ela	82.5
251737	SOC	54.5
250003	ela	30.5
259225	Math	51
252026	SOC	57.5
250234	Soc	64.5
254960	Math	100
254872	Math	92
250496	Ela	41
256008	soc	97
258231	Soc	33.5
250099	soc	74.5
254526	soc	39
256279	Math	94.5
256728	Ela	75
256996	SOC	99.5
252250	Math	92
250558	SOC	83.5
254978	math	81.5
256496	soc	58
255014	Ela	69
257174	soc	31.5
253804	Soc	60.5
257782	math	65.7656966941431
257334	Math	91
252819	MATH	80
257535	ela	96.5
254308	Soc	46.5
257757	ELA	64.0355591694824
257139	SOC	65.4467492629774
250897	Soc	82.5
250696	soc	46.5
256803	SOC	58.5
253417	ELA	59
256611	soc	84
259664	ELA	41
254522	Math	50
255846	ELA	65.5
257664	ELA	75
254112	Soc	93.5
252807	MATH	36
259365	math	44.5
253416	Soc	98.5
257320	MATH	65.4467492629774
250543	ela	59.5
253241	soc	64
250639	SOC	92.5
251900	ela	80
257880	Ela	90.5
252357	Math	51
256455	MATH	59.5
251594	ELA	97.5
250718	ELA	44.5
258906	soc	63
255705	MATH	97.5
251490	MATH	42
250591	SOC	86.5
253701	Math	66
250799	math	87.5
254049	soc	45
254791	ELA	64.693443777971
258538	SOC	91
252008	soc	55.5
254238	soc	26
255598	Math	89.5
250532	ela	83.5
253115	SOC	94
259657	soc	49.5
251805	MATH	89.5
258178	Math	63
256498	MATH	52
252385	Math	79.5
253707	soc	78.5
254129	math	78.5
257340	Ela	80.5
253507	ela	49
255821	Ela	84.5
253076	math	93
250921	Math	44
256095	ela	87
257471	ELA	96
258280	Math	90.5
252334	soc	76
258574	Soc	58
250164	math	46.5
259584	MATH	34
259816	Soc	61.5
259763	SOC	48.5
254017	SOC	67
257569	ELA	40.5
254991	ELA	56
259880	math	65.4467492629774
257386	ela	35
250853	math	80.5
258809	ELA	71.5
254739	SOC	33
257944	ela	62
255390	math	80
256318	ela	65.5
251298	SOC	51.5
258318	ELA	30.5
257276	Math	93
259670	SOC	87.5
251111	ela	26.5
253639	ela	55
254117	math	65.6714702318422
257758	MATH	71
252966	MATH	27
252523	SOC	43.5
255124	soc	32
259342	Ela	51.5
252678	MATH	98.5
254199	Math	35.5
252152	ELA	58.5
259461	soc	41
252487	Ela	81
250523	math	73
255351	Math	61
250008	SOC	32.5
259846	ELA	64.6473266794346
255957	math	85
254795	Math	61
258570	soc	49.5
259910	ela	44
251153	Ela	85
259325	math	35
259326	ELA	48.5
254941	Soc	37
256220	math	28.5
255260	soc	68
251177	Ela	92
251969	Math	45
254209	ELA	67.5
259356	math	74.5
257440	math	90
251936	Soc	34
255808	SOC	64.0355591694824
251688	ela	84.5
253450	soc	73.5
258881	Soc	64.693443777971
251691	soc	72.5
256300	soc	83
255122	ela	51
259237	Soc	35
259529	MATH	62
258097	ela	47
250692	ELA	41
257668	math	69
257866	MATH	47.5
257874	ela	48.5
250030	Math	37.5
256499	Soc	53
255484	MATH	46.5
256657	MATH	45.5
258669	SOC	58
257083	soc	75
258744	soc	65.7656966941431
256674	SOC	86.5
256319	Math	63.5
251945	Ela	33
250726	MATH	100
255912	Math	88.5
256375	Math	49
251434	SOC	64.1138002085499
256196	soc	70
254796	soc	79
252266	Ela	98
259456	Ela	97.5
259483	SOC	33
256101	ELA	25
252283	Soc	72.5
252014	math	98.5
254738	MATH	90
252210	SOC	25.5
253156	SOC	41.5
253154	math	57
256408	ela	92.5
251816	Soc	81
257439	Ela	89
259558	math	26.5
253125	ELA	48.5
250501	Soc	25.5
251067	Soc	72.5
255373	soc	64.6473266794346
250232	Math	36
258319	soc	77.5
251424	MATH	96
257800	Ela	52.5
256772	soc	82
252803	math	28.5
255550	soc	46
259680	ELA	34
258316	Math	73
252739	soc	100
251883	Ela	100
257157	math	62.5
250331	Soc	93
250461	ELA	86
258229	SOC	55
251116	ELA	51
251196	soc	35.5
258440	SOC	42
258541	Math	89.5
251445	ELA	81.5
253499	ELA	49
255706	math	82
250457	SOC	95.5
252693	SOC	25.5
254570	Soc	80
252285	ELA	89.5
256604	Ela	43.5
257241	ELA	64.1138002085499
256947	Ela	29
252068	Math	64.6473266794346
256072	ELA	76.5
250156	Math	38
256592	SOC	87.5
259227	ELA	73.5
254375	math	58
254328	ela	46
250494	MATH	74
250123	MATH	53.5
257673	Math	28
252027	Soc	55.5
252367	math	32
259517	SOC	45
258957	Ela	45
259987	math	52
258967	math	41
259350	Soc	41
259107	soc	29
252874	Ela	57
254689	Ela	45
256176	soc	56
254521	math	64.8956618295051
251633	ela	99.5
252269	ela	64.6672652936541
253875	MATH	41.5
253416	MATH	57.5
255673	ela	45
251582	Soc	44
256046	SOC	92.5
256052	Soc	75
257536	ela	52
258663	Soc	87
259585	Ela	95
259649	Math	72.5
258628	ELA	76
252515	Soc	96
252395	math	52.5
255500	Soc	69.5
257823	ELA	92
256636	ELA	29.5
257827	ela	43
252362	math	41
256809	SOC	26
252455	soc	75
256801	Ela	37
259693	Ela	67
254775	Math	64.7016131659038
250356	ela	50.5
250389	SOC	52.5
255342	ela	94.5
258964	math	49
254335	Soc	77.5
250164	MATH	44.5
254010	ela	59.5
258859	Math	29
252373	Soc	70.5
257274	math	55
256386	Soc	33.5
252479	Soc	29
256651	soc	54
251591	math	32.5
254275	ela	38
254258	Math	82
259951	Soc	64.5
254850	soc	88.5
251692	MATH	27
250541	ELA	31.5
258345	Ela	38
255607	MATH	63
252010	ELA	52.5
253557	ELA	35.5
256879	Math	92.5
257428	Ela	68.5
253357	Soc	48
253802	math	94
255434	Math	83.5
250477	Ela	55.5
255811	soc	93.5
253323	Ela	59.5
256827	soc	71
257474	math	71.5
252422	Ela	60.5
259161	soc	50
258912	SOC	80.5
258695	MATH	26
253169	math	86.5
259863	Math	61
256273	soc	56
257216	ela	43
254824	MATH	64.1138002085499
257180	SOC	46.5
250989	Ela	94.5
251296	Soc	72.5
250870	Soc	82.5
257928	soc	96
255718	SOC	43.5
258119	Math	64.6672652936541
251615	soc	29
254488	ela	68.5
258308	math	95
256031	ela	92.5
253475	SOC	82
254720	math	29
254340	MATH	28
259490	ela	36.5
250278	SOC	61
259112	MATH	46
256538	ela	35.5
255679	Math	86
259857	MATH	64.5
256522	soc	32.5
256786	Math	28
259495	SOC	62
251383	ELA	88
255369	math	59.5
253216	math	53.5
253246	ela	41
253145	MATH	82
250736	MATH	70.5
255371	math	64.693443777971
256577	SOC	42.5
257256	soc	32.5
258937	Ela	40.5
